id,link,title,sender,recipient,year,description,place,date,sentLocation,receivedLocation,senderLat,senderLng,receiverLat,receiverLng
pera0216,http://129.7.224.3/omeka-2.6.1/items/show/1794,"Envelope addressed to Hon. [Honorable] Alonso S. Perales, postmarked 21 March 1952",[Unknown],"Perales, Alonso S.",1952,"Envelope addressed to Hon. [Honorable] Alonso S. Perales from an unknown sender at Hoyo, Wideman & Shelton Attorneys at Law in San Antonio, Texas, postmarked 21 March 1952.  ",,3/21/52,"San Antonio, TX","San Antonio, TX",29.4260944,-98.4906657,29.4260944,-98.4906657
pera0217,http://129.7.224.3/omeka-2.6.1/items/show/1795,"Envelope addressed to Honorable Alonso S. Perales, Attorney at Law, postmarked 26 March 1952","Allison, Guy P.","Perales, Alonso S.",1952,"Envelope addressed to Honorable Alonso S. Perales from Honorable Guy P. Allison, Office of Price Stabilization, in San Antonio, Texas, postmarked 26 March 1952.  ",,3/26/52,"San Antonio, TX","San Antonio, TX",29.42315273,-98.49768045,29.426278,-98.487113
pera0218,http://129.7.224.3/omeka-2.6.1/items/show/1796,"Envelope addressed to Attorney Alonzo Perales [Alonso S. Perales], postmarked 28 March 1952","Morales, Dionicio","Perales, Alonso S.",1952,"Envelope addressed to Attorney Alonzo Perales [Alonso S. Perales] from Dionicio Morales in Los Angeles, California, postmarked 28 March 1952.  ",,3/28/52,"Los Angeles, CA","San Antonio, TX",34.0352365,-118.2967717,29.426278,-98.487113
pera0219,http://129.7.224.3/omeka-2.6.1/items/show/1797,"Envelope addressed to Honorable Alonso S. Perales, postmarked 28 March 1952",[Unknown],"Perales, Alonso S.",1952,"Envelope addressed to Honorable Alonso S. Perales from an unknown sender at the Division of Junior and Senior Schools in the San Antonio Independent School District, postmarked 28 March 1952.  ",,3/28/52,"San Antonio, TX","San Antonio, TX",29.4174363,-98.4873755,29.4480877,-98.4954983
pera0220,http://129.7.224.3/omeka-2.6.1/items/show/1798,"Envelope addressed to Mr. Alonso S. Perales, postmarked 30 March 1952",[Unknown],"Perales, Alonso S.",1952,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at St. Mary's Seminary in Perryville, Missouri, postmarked 30 March 1952.  ",,3/30/52,"Perryville, MO","San Antonio, TX",37.72771,-89.88894,29.426278,-98.487113
pera0221,http://129.7.224.3/omeka-2.6.1/items/show/1799,"Envelope addressed to Lic.[Licenciado/Esq.] Alonso S. Perales, postmarked 30 April 1952","Danciger, Jack","Perales, Alonso S.",1952,"Envelope addressed to Lic.[Licenciado/Esq.] Alonso S. Perales from Jack Daciger in Fort Worth, Texas, postmarked 30 April 1952.  ",,4/30/52,"Fort Worth, TX","San Antonio, TX",32.7530426,-97.3302644,29.426278,-98.487113
pera0222,http://129.7.224.3/omeka-2.6.1/items/show/1800,"Envelope addressed to Mr. Alonzo Perales [Alonso S. Perales], postmarked 30 March 1952",[Unknown],"Perales, Alonso S.",1952,"Envelope addressed to Mr. Alonzo Perales [Alonso S. Perales] from an unknown sender at the Regional Office of the Bishop's Committee for the Spanish Speaking in Austin, Texas, postmarked 30 March 1952.  ",,6/16/52,"Austin, TX","San Antonio, TX",30.25659,-97.72067,29.4263559,-98.4965872
pera0224,http://129.7.224.3/omeka-2.6.1/items/show/1802,"Envelope addressed to the Honorable A.S. Perales [Alonso S. Perales], postmarked 23 February 1953","Olivares, L.","Perales, Alonso S.",1953,"Envelope addressed to the Honorable A.S. Perales [Alonso S. Perales] from L. Olivares in Edinburg, Texas, postmarked 23 February 1953. Marked as Personal.  ",,10/9/53,"Edinburg, TX","San Antonio, TX",26.30255,-98.15784,29.426278,-98.487113
pera0225,http://129.7.224.3/omeka-2.6.1/items/show/1803,"Envelope addressed to Mr. Alonso S. Perales, Consulado General de Nicaragua [Consul General of Nicaragua], postmarked 19 February 1954","Rivas, Enrique J.","Perales, Alonso S.",1954,"Envelope addressed to Mr. Alonso S. Perales, Consulado General de Nicaragua [Consul General of Nicaragua], from Enrique J. Rivas in Managua, Nicaragua, postmarked 19 February 1954. Marked as a special delivery.  ",,2/19/54,"Managua, NI","San Antonio, TX",12.15322307,-86.26387366,29.426278,-98.487113
pera0226,http://129.7.224.3/omeka-2.6.1/items/show/1804,"Envelope addressed to Alonso S. Perales, postmarked 5 May 1954",[Unknown],"Perales, Alonso S.",1954,"Envelope addressed to Alonso S. Perales from an unknown sender at Lozano Grocery and Market in Raymondville, Texas, postmarked 5 May 1954.  ",,5/5/54,"Raymondville, TX","San Antonio, TX",26.4825088,-97.7823286,29.44732378,-98.49567741
